Año,Referencia,Dominio de aplicación,Tipo de datos,Número de variables,Longitud temporal,Mecanismo de ausencia asumido,Patrón de ausencia evaluado,Método,Tipo de salida: puntual o probabilística,Pérdida de entrenamiento,Métricas,Baselines,Ventajas,Limitaciones,Código o datos disponibles,Relevancia para tu taxonomía
1951,Kullback & Leibler (1951),Estadística matemática y teoría de la información general.,Distribuciones de probabilidad y densidades de variables abstractas.,N/A.,N/A.,N/A.,N/A.,Medida de discriminación de información y divergencia media de verosimilitud.,Probabilística (divergencia entre densidades de probabilidad).,Divergencia de información de Kullback-Leibler.,Divergencia simétrica J y medida de información asimétrica I(1:2).,"Distancia de Mahalanobis, información de Fisher.",Sustenta matemáticamente el concepto de suficiencia de Fisher y generaliza las nociones de Shannon/Wiener.,"Es una formulación de teoría de la información abstracta, no un algoritmo de imputación.",N/A.,Base métrica para evaluar la calidad de las distribuciones imputadas (Kullback-Leibler divergence).
1975,Beale & Little (1975),Estadística matemática clásica y análisis multivariante general.,Datos multivariantes tabulares continuos (simulados y reales).,Simulación (3 a 5 variables); Datos reales (5 variables de exámenes).,N/A.,"MAR y MCAR (valores perdidos de forma aleatoria, ""missing at random"").","Deletions aleatorias independientes en cada variable (5%, 10%, 20%, 40% de tasa de pérdida).",Máxima verosimilitud corregida (Iterated Buck) / Orchard & Woodbury's Missing Information Principle (algoritmo EM).,Puntual (estimación de parámetros de la distribución normal: medias y covarianzas).,Maximización de la verosimilitud esperada de los datos completos.,Residual sum of squares (S) y aproximación de matriz de covarianza de estimadores.,"Ordinary Least Squares (OLS) en casos completos (listwise), Buck original (1960), OLS no ponderado en imputados, OLS ponderado.",Aporta un estimador insesgado de máxima verosimilitud para la matriz de covarianzas; converge de forma robusta.,La deducción teórica rigurosa depende estrictamente de la normalidad multivariada de los datos.,N/A (implementación de software histórico Scicon).,Fundamento teórico primario del principio de información faltante y de la verosimilitud de Rubin.
1976,Rubin (1976),Fundamentos de la inferencia estadística clásica y bayesiana.,"Vectores de datos observados, faltantes y su indicador binario.",Vector multivariado general.,N/A.,"Define y formaliza MAR (Missing at Random), OAR (Observed at Random) e ignorabilidad.",N/A (plantea el proceso condicional general g_phi(m|u)).,Inferencia de verosimilitud e inferencia bayesiana bajo ignorabilidad del proceso de pérdida.,Inferencia estadística / Distribuciones a posteriori.,N/A (análisis matemático de condiciones de ignorabilidad).,N/A.,Análisis conjunto de datos e indicadores frente a análisis marginal.,Aporta las condiciones matemáticas más débiles posibles para realizar inferencias válidas ignorando el proceso de pérdida.,Trabajo puramente matemático y teórico; no describe algoritmos computacionales de resolución.,N/A.,La referencia teórica más importante de la literatura de datos faltantes; base del concepto de ignorabilidad.
1977,Kim & Curry (1977),Sociología y análisis de encuestas en ciencias sociales.,Datos tabulares estáticos de encuestas (ejemplo Blau-Duncan).,5 variables principales en simulación.,N/A.,"MCAR, MAR (dependiente de observadas), MAR (variable oculta), No MAR (dependiente del valor), No MAR (combinación).","Pérdida aleatoria a niveles del 1%, 2%, 5%, 10%.","Listwise deletion, Pairwise deletion, Regresión con componente aleatorio (Buck modificado), Sustitución de medias.","Puntual (cálculo de correlaciones, covarianzas y coeficientes de ruta).",N/A (mide desviación del estimador real).,Desviación media de coeficientes de correlación y covarianza respecto al modelo verdadero.,Comparación directa entre Listwise y Pairwise en datasets de variables moderadamente correlacionadas.,Clasifica teóricamente la tipología de ausencia; propone un test de aleatoriedad (Chi-cuadrado para combinaciones de ausencia).,Limitado a estadística lineal clásica; no contempla modelos no lineales profundos ni temporales.,N/A.,Base taxonómica para clasificar patrones de datos faltantes y su aleatoriedad en el análisis multivariante.
1977,"Dempster, Laird & Rubin (1977)","Estadística matemática general, genética, modelos lineales mixtos, análisis de supervivencia, datos truncados/censurados y agrupados.","Datos incompletos generales procedentes de familias exponenciales o generales (tabulares, de mezcla, agrupados).",Abstracto (multivariante general).,N/A.,MAR (Missing at Random) y OAR (Observed at Random).,"Patrones de ausencia generales, datos truncados, censura y agrupamiento.",Algoritmo EM (Expectation-Maximization): algoritmo iterativo basado en el cálculo de expectativas (E-step) y maximización de parámetros (M-step).,Puntual (parámetros de máxima verosimilitud).,Maximización de la verosimilitud esperada de los datos completos mediante Q(theta | theta^(p)).,"Log-verosimilitud observada (convergencia monótona), tasa de aumento de la información.","Modelos de Newton-Raphson, Fisher scoring, aproximaciones simples específicas de muestras de la época (Healy-Westmacott).",Garantía matemática de convergencia monótona en cada ciclo; alta generalidad de aplicación; evita segundas derivadas costosas.,Convergencia lenta (lineal) bajo altas tasas de información faltante; sensibilidad a la inicialización (puede converger a máximos locales).,N/A (formulación matemática fundacional).,Marco de referencia universal y punto de partida de la inferencia iterativa de verosimilitud en presencia de datos faltantes.
1979,Murray (1979),Análisis discriminante y estimación de densidades multivariantes.,Vectores multivariantes normales continuos (1 y 8 dimensiones).,d = 1 y d = 8 variables.,N/A.,MAR (citando explícitamente a Rubin 1976).,Patrones nested (anidados) de ausencia de datos y patrones generales.,Estimación predictiva bayesiana vs. método estimativo clásico (EM con MV).,Probabilística (función de densidad continua estimada).,Ajuste predictivo bayesiano integrado con a priori vagas.,Desviación de Kullback-Leibler respecto a la densidad verdadera.,"Estimative Method (MV convencional con EM), Best Normal Fit.",Demuestra la superioridad teórica y práctica del método predictivo sobre el estimativo para muestras pequeñas.,Cálculo analítico muy complejo para patrones generales no estructurados de datos faltantes.,N/A.,Conecta la divergencia KL con la estimación de verosimilitud en presencia de datos faltantes.
1983,Larimore (1983),"Selección de estructuras y orden de modelos estocásticos, series temporales, inferencia predictiva general.",Series temporales y variables estocásticas abstractas de muestras repetidas.,Vectores de variables K e Y.,N/A.,N/A (enfoque de inferencia predictiva sobre muestras futuras independientes).,N/A.,Inferencia predictiva basada en entropía y el principio de verosimilitud asintótica. Conecta suficiencia de Fisher con la divergencia KL.,Probabilística (densidades predictivas condicionales y conjuntas).,Negentropía condicional esperada (maximización del log-likelihood predictivo).,"Divergencia de Kullback-Leibler, Criterio de Información de Akaike (AIC).","Método estimativo tradicional (sustitución puntual de parámetros en muestras pequeñas), aproximación clásica de muestras repetidas.",Justificación robusta para muestras pequeñas; previene el sobreajuste al evaluar el comportamiento predictivo en muestras futuras independientes.,Formulación matemática abstracta; difícil aplicación directa sin supuestos específicos sobre las densidades continuas.,N/A.,Aporta el fundamento métrico para evaluar la similitud entre la distribución imputada y la real mediante entropía/KL.
1992,Ahmad & Tresp (1992),"Visión por computadora, robótica y reconocimiento de poses gestuales en 3D.",Coordenadas espaciales de características visuales extraídas de imágenes.,10 variables continuas (coordenadas polares de los 5 dedos de la mano respecto al centro de masa).,N/A (muestras estáticas de gestos).,"MAR y MCAR (oclusiones de la mano, fallas de detectores, sombras).","Pérdida aleatoria de características (de 1 a 6 variables eliminadas, hasta el 60% de ausencia); ruido aditivo en coordenadas.",Integración bayesiana óptima sobre variables faltantes mediante Redes de Función de Base Gaussiana (GBF) que aprenden la densidad local p(x).,Probabilística (probabilidades de clase p(Ci | xc) integrando las características ocultas).,Entrenamiento adversario o mínimos cuadrados; optimización de gaussianas con k-means y EM para modelar p(x).,Tasa de clasificación correcta en reconocimiento de gestos 3D.,"Retropropagación (BP) clásica con imputación por la media de características, redes de base radial clásicas con sustitución de la media.",Ofrece soluciones cerradas eficientes proyectando las gaussianas sobre las dimensiones observadas; excelente robustez con hasta 50% de pérdida.,Requiere un estimador de densidad preciso; la retropropagación clásica sufre degradación grave si no se integra la densidad.,No disponible públicamente en la época.,"Representa el enfoque de integración analítica de la densidad de variables faltantes, en lugar de imputación por sustitución puntual."
1992,Little (1992),"Inferencia en regresión lineal, epidemiología, sociología y análisis de encuestas de salud.",Datos tabulares continuos y binarios (ejemplo: encuesta de depresión en Los Ángeles).,"4 variables predictoras clave (log(income), edad, salud, días de cama) y respuesta Y (depresión).",N/A (datos transversales).,"MCAR, MAR (dependiente de X o dependiente de Y) y MNAR.",Simulación de pérdida del 50% en la variable de ingresos bajo tres mecanismos controlados.,"Estudio comparativo sistemático de complete cases, available cases, regresiones imputadas (Buck), verosimilitud (EM normal) e MI.","Puntual (en CC, AC, EM) y Probabilística (en MI y simulación bayesiana).",Mínimos cuadrados lineales ponderados (WLS) y verosimilitud normal mediante EM.,"Sesgo en coeficientes de regresión, errores estándar estimados, tasas de error de tipo I.",Análisis de mínimos cuadrados de datos completos originales (gold standard).,Demuestra los sesgos severos de la sustitución de la media y la atenuación de coeficientes si no se incluye la respuesta Y en la imputación.,El trabajo enfatiza el modelo normal lineal clásico; no abarca métodos generativos profundos no lineales modernos.,N/A (revisión de literatura e investigaciones por simulación).,Define la metodología de validación basada en la calidad de tareas posteriores (downstream tasks: coeficientes de regresión).
1993,"Ahmad, S., & Tresp, V. (1993). ",Visión por computadora (reconocimiento tridimensional de 7 gestos manuales a partir de imágenes en 2D en diversas poses y orientaciones).,Continuos (coordenadas polares bidimensionales de las posiciones de las puntas de los 5 dedos respecto al centro de masa de la mano).,"10 dimensiones (coordenadas r, theta para cada uno de los 5 dedos).",No aplica (clasificación de imágenes de gestos estáticos).,"Missing at Random (MAR) o fallos de detección debidos a oclusiones (autooclusiones, sombras, detectores de características poco fiables).",Características eliminadas de forma aleatoria (missing features) y características con ruido Gaussiano o uniforme (noisy features) de 1 a 6 dimensiones faltantes.,"Enfoque Bayesiano de integración de la densidad de probabilidad para extraer probabilidades de clase a partir de datos incompletos. Consiste en integrar el vector sobre las dimensiones faltantes ponderadas por la densidad de probabilidad de entrada local estimada $p(xc, xu)$. Se proponen soluciones en forma cerrada aproximadas utilizando Redes de Funciones de Base Radial Gaussiana (GBF networks) que aproximan la densidad de entrada usando una mezcla de gaussianas entrenada de forma blanda (algoritmo EM).",Probabilística. Estima las probabilidades a posteriori de cada clase dada la información parcial disponible: $p(Ci | xc)$.,Algoritmo EM para la mezcla de gaussianas y descenso de gradiente por mínimos cuadrados (LMS) para entrenar los pesos de salida de las redes RBF.,Porcentaje de muestras en las que la clase correcta se ubicó dentro de las dos primeras predicciones (top-2 accuracy).,"Imputación por el valor medio de los atributos, redes multicapa estándar entrenadas con Backpropagation (BP) con integración por Monte Carlo, y modelos GBF sin densidad preservada.",Las redes Gauss-RBF logran resultados óptimos superando con creces a la imputación por la media y a BP; retienen una exactitud top-2 superior al 90% incluso con el 50% de las variables faltantes; proporciona fórmulas analíticas cerradas sumamente rápidas sin necesidad de integraciones numéricas costosas.,"El método requiere que el modelo conserve de forma explícita la distribución de densidad de los datos de entrada (densidad de mezcla), lo que hace ineficientes a las redes tradicionales de backpropagation que carecen de estimadores de densidad integrados.",Traza de datos simulados usando un modelo informático 3D de mano humana en diversas orientaciones (4368 ejemplos de entrenamiento). Sin código público listado.,Clasificación clave para modelos híbridos generativos-discriminativos (redes de base radial como estimadores de densidad conjunta) que resuelven de forma analítica el clasificador posterior bajo ausencia y ruido de variables sin imputación explícita.
