authors,year,title,category,is_imputation,formal_result,time_series,missingness_assumption,reasoning,verdict
"Saha, S; Linforth, S; Desai, N; Ngo, T",2026,Spectrally normalised Wasserstein generative adversarial imputation framework for multi-modal SHM data recovery in digital-twin systems,B,YES,NO,YES,Partial observability / general missingness (tested up to 90% missing rate),"Proposes SN-WGAIN-GP for multi-modal SHM time-series data imputation. Substantively discusses multiple imputation, uncertainty quantification, and Rubin's rule (""leverages MC dropout, Gaussian noise, and multiple latent noise vectors to generate diverse imputed datasets... and Rubin's rule for quantifying predictive uncertainty""), but lacks a formal mathematical theorem or proof.",REVIEW
"Chen, XD; Wang, HS; Gao, H; Liu, Y; Pan, ZM; Song, Q; Qin, HF; Jiang, Y",2026,Prior-Knowledge-Guided Missing Data Imputation for Bridge Cracks: A Temperature-Driven SP-VMD-CNN-GRU Framework,D,YES,NO,YES,Unspecified sensor malfunction data loss,"Focuses on physics-guided deep learning (CNN-GRU with VMD) for bridge crack data imputation. Employs Granger causality and Diebold-Mariano tests for empirical performance, but contains no statistical validity analysis, Rubin's framework, or formal bridge.",SKIP
"Zhong, MW; Fan, JM; Luo, JQ; Xiao, XY; He, GL; Cai, R",2024,InfoCAVB-MemoryFormer: Forecasting of wind and photovoltaic power through the interaction of data reconstruction and data augmentation,D,NOT-IMPUTATION,NO,YES,Extreme data scarcity / missing data,"Primary goal is wind and solar power forecasting under data scarcity. Data reconstruction/imputation is utilized purely as an intermediate step for data augmentation, not as the primary research goal or statistical framework.",SKIP
"Chen, Y; Patelli, E; Edwards, B; Beer, M",2023,A Bayesian Augmented-Learning framework for spectral uncertainty quantification of incomplete records of stochastic processes,B,YES,NO,YES,Incomplete data records / stochastic process gaps,"Proposes a Bayesian deep learning framework using stochastic variational inference for time-domain signal reconstruction and spectral uncertainty quantification. Substantively analyzes posterior distributions over models and reconstructions, but provides no formal theorem/proof under Rubin's framework.",REVIEW
"Chang, ZQ; Liu, SB; Qiu, R; Song, S; Cai, ZH; Tu, GQ",2023,Time-aware neural ordinary differential equations for incomplete time series modeling,C,YES,NO,YES,Missing values from noise / sensor malfunction,"Introduces Time-aware Neural ODEs for incomplete time series modeling. Mentions learning the posterior distribution in passing as part of the encoder design, but focuses primarily on architectural performance (MSE) without formal validity proofs or Rubin framework analysis.",SKIP
"Zhao, YX; Linderman, SW",2023,Revisiting Structured Variational Autoencoders,D,NOT-IMPUTATION,NO,YES,General missing data handling,"Revisits Structured Variational Autoencoders for sequential data modeling and message-passing optimization. Handling missing data is demonstrated as a self-supervised capability rather than the primary objective, with no statistical validity bridge.",SKIP
"Sangeetha, M; Kumaran, MS",2020,RETRACTED: Deep learning-based data imputation on time-variant data using recurrent neural network (Retracted Article),R,RETRACTED,RETRACTED,RETRACTED,RETRACTED,Article is explicitly marked as RETRACTED in the publication record. Classified as R and excluded from further analysis.,SKIP
"Spezia, L; Paroli, R",2008,Bayesian inference and forecasting in dynamic neural networks with fully Markov switching ARCH noises,C,NOT-IMPUTATION,NO,YES,Missing values within observed series,Primary objective is Bayesian parameter estimation and forecasting in dynamic neural networks with ARCH noise using Evolutionary Monte Carlo. Treats missing values as unknown parameters in an MCMC framework rather than developing a DL imputation validity theory.,SKIP
"Sharma, S; Lingras, P; Zhong, M",2004,Effect of missing values estimations on traffic parameters,D,YES,NO,YES,Pseudo-missing traffic count values,"Evaluates empirical estimation errors of ARIMA, factor models, and neural networks for missing traffic count imputation. Purely an empirical engineering study without theoretical statistical validity modeling.",SKIP
"Zhang, Y.",2026,An Adaptive Transformer-Based Framework for Evaluating the Digital Literacy of Innovative Talents,D,NOT-IMPUTATION,NO,YES,Routine preprocessing missing value handling,Primary focus is evaluating digital literacy using Transformers and Deep Q-Networks. Missing data handling is mentioned strictly as a routine data preprocessing step.,SKIP
"Prajesh, A.; Jain, P.",2026,Robust and cyber-resilient attention-enhanced deep learning framework for electricity price forecasting under false data injection attacks,D,NOT-IMPUTATION,NO,YES,Routine preprocessing missing value treatment,Focuses on electricity price forecasting under false data injection attacks. Missing value treatment is included solely as part of the input data preprocessing pipeline.,SKIP
"Zhou, H.",2026,Reinforcement learning and neural network-driven student psychological crisis intervention strategy,D,NOT-IMPUTATION,NO,NO,Routine preprocessing missing value validation,Proposes reinforcement learning for student mental health crisis intervention. Missing value validation is purely a tabular preprocessing step.,SKIP
"Pang, Z.-C.; Liu, M.; Zhang, L.-X.; Cao, X.-B.; Duan, G.-R.",2025,Conditional Diffusion Model-based Imputation Method for Missing Satellite Telemetry Data,B,YES,NO,YES,"Complex factors (sensor malfunctions, transmission errors)","Proposes a conditional diffusion model for satellite telemetry time-series imputation by modeling the conditional posterior distribution of missing values. Substantively discusses probabilistic posterior generation for time-series imputation, but lacks formal proofs/theorems under Rubin's framework.",REVIEW
