authors,year,title,category,time_series,reasoning,verdict
Gong et al.,2026,Comprehensive Deep Learning Framework for Indoor Localization With BLE RSSI in Dynamic Environments,C,YES,"Mentions MICE as a data interpolation preprocessing step alongside a Transformer model for indoor localization, but does not examine the statistical validity framework or theoretical proofs.",SKIP
Alvars et al.,2026,"Comparative analysis of support vector machines, artificial neural network, random forest and gradient boosting for predictive maintenance in mining machinery and equipment: a case study of Chadormalu Iron Ore Mine",D,NO,"Uses standard missing value imputation only as part of data cleaning for machine learning classification in mining machinery maintenance, without addressing statistical inference theory.",SKIP
Zhou et al.,2026,Benchmarking Data-Driven Imputation Methods for IMU Sensors: A Comprehensive Evaluation Across Scenarios and Parameters,C,YES,Benchmarks 12 empirical imputation methods including MICE and deep learning models on IMU sensors without connecting DL imputation to Rubin's statistical inference theory.,SKIP
Poette et al.,2026,Benchmarking imputation strategies for missing time-series data in critical care using real-world-inspired scenarios,C,YES,"Evaluates deep learning and statistical imputation methods under MCAR and structured missingness mechanisms in critical care time series, but focuses on predictive benchmark accuracy rather than formal statistical validity theory.",SKIP
Sejine et al.,2026,"Bridging gaps in sparse groundwater data: classical, ensemble, and deep learning approaches for single- and multi-well imputation",C,YES,"Mentions MICE as a classical baseline alongside LSTM for groundwater-level gap-filling, without addressing statistical inference theory or Rubin's framework.",SKIP
Fong et al.,2025,Bayesian quantile estimation and regression with martingale posteriors,D,NO,"Develops a Bayesian nonparametric theoretical framework (Quantile Martingale Posterior) for quantile estimation and regression, but does not involve deep learning imputation architectures.",SKIP
Fattahillah et al.,2025,Benchmark of Clean Water Classification Based on Water Quality Index using Deep Learning,D,NO,Uses data imputation as a basic preprocessing step for classifying water quality indices using deep learning models without discussing statistical inference theory.,SKIP
Zahmatkesh et al.,2025,Comparing the Performance of Recurrent Neural Network and Some Well-Known Statistical Methods in the Case of Missing Multivariate Time Series Data,C,YES,"Compares recurrent neural networks (LSTM-D/GRU-D) with statistical methods (MICE, Bootstrapped-EM) under MAR and non-random missingness assumptions in time series, but focuses on empirical performance evaluation rather than theoretical statistical validity.",SKIP
Gendre et al.,2024,Benchmarking imputation methods for categorical biological data,C,NO,"Mentions missing data mechanisms and multiple imputation in a benchmarking framework for categorical species trait data, but does not address Rubin's statistical inference theory.",SKIP
Arias-Muñoz et al.,2024,Comparative analysis of traditional methods and a deep learning approach for multivariate imputation of missing values in the meteorological field,C,YES,"Compares Expectation Maximization with Bootstrap (EMB), MissForest, and LSTM for meteorological time series imputation, focusing on predictive accuracy rather than statistical inference theory.",SKIP
