authors,year,title,category,time_series,reasoning,verdict
Sun et al.,2023,Deep learning versus conventional methods for missing data imputation: A review and comparative study,B,NO,"Substantively reviews and compares deep learning imputation against conventional statistical methods across MCAR, MAR, and MNAR mechanisms, relying on empirical benchmarking rather than formal mathematical proofs.",REVIEW
Tharuksha & Sampath,2026,Data-Driven Prediction of Caprock Breakthrough Pressure and Permeability for CO2 Storage Integrity: A Meta-Analysis,D,NO,Uses standard MICE solely as a routine missing data preprocessing step prior to geological regression modeling without addressing deep learning imputation theory.,SKIP
Surakhi et al.,2026,DeepSIP: A Deep Learning Approach for Sensor Data Imputation and Time Series Forecasting,C,YES,"Proposes a deep learning architecture for sensor time series imputation and forecasting, mentioning MICE and missing data bias only in passing as empirical benchmarks.",SKIP
Le et al.,2026,Data Imputation for Noisy Time-Series Data in Healthcare,C,YES,"Benchmarks MICE-RF against deep learning time-series models for noise reduction and missing data, referencing statistical imputation only as an experimental baseline.",SKIP
Yu et al.,2025,CTDI: CNN-Transformer-Based Spatial-Temporal Missing Air Pollution Data Imputation,D,YES,Presents an engineering CNN-Transformer architecture for spatial-temporal air quality imputation without addressing Rubin missing data inference theory.,SKIP
Suwattananuruk & Chien,2025,Denoising variational autoencoders for smart inspection of wafer probe card PCB channels for advancing quality control for semiconductor manufacturing,C,NO,"Applies a denoising variational autoencoder for semiconductor probe card channel inspection, citing MICE only in passing as an empirical baseline.",SKIP
Shi et al.,2025,Data Imputation Based on Retrieval-Augmented Generation,D,NO,Introduces a Retrieval-Augmented Generation framework using LLMs for data lake tabular imputation without addressing the theoretical connection to statistical missing data inference.,SKIP
Mantuano et al.,2025,Data imputation methods for intermittent renewable energy sources: Implications for energy system modeling,B,YES,Substantively evaluates how deep learning and statistical imputation methods impact distribution preservation and statistical validity in downstream energy optimization models.,REVIEW
Mello-Román & Martínez-Amarilla,2025,COVID-19 Data Analysis: The Impact of Missing Data Imputation on Supervised Learning Model Performance,C,NO,Evaluates missing data imputation algorithms (including MICE) to preprocess clinical COVID-19 data for classifier accuracy without addressing deep learning inference theory.,SKIP
Hani et al.,2025,"Context-Aware Imputation for Parkinson's Disease Trajectories: Systematic Benchmark of Cross-Sectional, Temporal, and Generative Approaches",B,YES,Substantively benchmarks generative variational models against MICE under MAR and MNAR mechanisms to evaluate statistical bias and inferential validity in longitudinal trajectories.,REVIEW
Thoi et al.,2025,Deep Learning-assisted Diagnosis of Extrahepatic Common Bile Duct Obstruction Using MRCP Imaging and Clinical Parameters,D,NO,"Applies routine missing data imputation as an undisclosed preprocessing step for multimodal medical imaging classification, with no discussion of statistical missing data theory.",SKIP
